id_est;cod_est;nombre_est;comuna;id_reg
1;209;Jardín Infantil Integra;Mejillones;II
2;211;Iglesia;María Elena;II
3;218;Villa Caspana;Calama;II
4;221;Compañía de Bomberos;Mejillones;II
5;525;ARMAT;Quilpué;V
6;533;Manzanar;Quillota;V
7;517;La Calera;Calera;V
8;405;Camisas;Salamanca;IV
9;402;Chacay;Los Vilos;IV
12;227;Servicio Médico Legal;Calama;II
13;534;La Cruz, Colbún;Calera;V
14;519;La Cruz, Melón;La Cruz;V
15;406;El Mauro;Los Vilos;IV
16;401;Hotel Mina;Salamanca;IV
17;409;Quelen Alto;Salamanca;IV
18;903;Padre Las Casas;Padre las Casas;IX
27;819;MASISA Mapal;San Pedro de la Paz;VIII
30;705;Teno, ENLASA;Teno;VII
31;704;Teno, CEMENTOS BIO BIO;Teno;VII
32;407;Caimanes;Los Vilos;IV
33;225;Rendic;Antofagasta;II
38;;Cine Inca;Diego de Almagro;III
39;203;Escuela E-12;Tocopilla;II
40;316;Pabellón;Tierra Amarilla;III
41;514;San Pedro;Quillota;V
43;804;JUNJI;Hualpén;VIII
44;;Intelec;Diego de Almagro;III
45;320;CAP;Diego de Almagro;III
46;213;Sur;Antofagasta;II
47;614;Totihue;Requinoa;VI
49;E05;Fundo La Ribera;Máfil;XIV
51;206;Sur;Tocopilla;II
53;706;El Boldo;Curicó;VII
54;A07;Mirasol;Puerto Montt;X
58;603;Casas de Peuco;Mostazal;VI
59;610;Subestación Candelaria;Codegua;VI
65;608;Sewell;Machalí;VI
66;207;Ferrocarriles;Mejillones;II
67;836;CESFAM, Los Ángeles;Los Angeles;VIII
68;210;Hospital;María Elena;II
69;220;San José;Calama;II
70;226;Playa Blanca;Antofagasta;II
71;216;Paposo;Taltal;II
72;215;Punto de Máximo Impacto;Taltal;II
73;502;Terminal Concentrados;Puchuncaví;V
74;A02;Trapén Norte;Puerto Montt;X
76;852;Entre Ríos;Nacimiento;VIII
83;833;Meteorológica, Chiguayante;Chiguayante;VIII
89;535;Junta de Vecinos;Concón;V
91;801;San Vicente, Bomberos;Talcahuano;VIII
93;A03;Trapén Sur;Puerto Montt;X
94;E02;Vivero Los Castaños;Máfil;XIV
95;425;La Serena;Coquimbo;IV
104;807;Indura;Talcahuano;VIII
105;838;ENAP Price;Hualpén;VIII
108;219;Aukahuasi;Calama;II
109;508;Meteorológica Principal;Puchuncaví;V
110;904;Museo Ferroviario;Temuco;IX
111;A04;Entre Lagos;Osorno;X
112;602;San Francisco de Mostazal;Mostazal;VI
113;601;Codegua;Codegua;VI
114;321;Doña Ines;Diego de Almagro;III
115;E06;CESFAM Lago Ranco;Lago Ranco;XIV
116;D16;Cerrillos I;Cerrillos;M
118;809;Calabozo;Coronel;VIII
119;826;Laja;Laja;VIII
121;305;SM5 ;Huasco;III
124;217;Hospital del Cobre;Calama;II
126;E01;Consultorio Máfil;Máfil;XIV
127;803;Libertad;Talcahuano;VIII
128;205;Centro;Tocopilla;II
129;546;Central Quintero;Quintero;V
130;202;Escuela Gabriela Mistral;Tocopilla;II
131;537;Chagres Meteorologia;Catemu;V
132;524;Santa Margarita;Catemu;V
134;234;Oasis;Calama;II
135;859;Lota rural;Coronel;VIII
136;504;Los Maitenes;Puchuncaví;V
137;404;Coiron;Salamanca;IV
139;313;San Fernando;Copiapó;III
140;510;Concón sur;Concón;V
141;513;Cuerpo de Bomberos ;Quillota;V
142;515;La Palma;Quillota;V
144;408;Punta Chungo;Los Vilos;IV
145;518;Rural 1;Calera;V
148;415;Urmeneta - Plaza Centenario;Andacollo;IV
149;D29;Quilicura I;Quilicura;M
150;412;El Sauce;Andacollo;IV
152;613;MVC;Requinoa;VI
154;224;Oncológico;Antofagasta;II
155;549;Quilpue;Quilpué;V
156;411;Chepiquilla;Andacollo;IV
157;117;Alto Hospicio;Alto Hospicio;I
163;324;EME ME;Huasco;III
165;522;Catemu;Catemu;V
166;B05;Vialidad;Aysén;XI
169;231;Tres Marias;Tocopilla;II
170;860;Lota urbana;Coronel;VIII
171;420;Andacollo;Andacollo;IV
172;251;Super Site;Tocopilla;II
