id_serie;id_est;cod_param;altura;frecuencia
0;232;PM25;;diario
1;232;PM25;;horario
2;157;PM25;;diario
3;157;PM25;;horario
4;157;GLOB;3;horario
5;157;RHUM;3;horario
6;157;TEMP;3;horario
7;157;TEMP;10;horario
8;157;WDIR;10;horario
9;157;WSPD;10;horario
10;259;0001;;diario
11;259;0001;;horario
12;259;PM10;;diario
13;259;PM10;;horario
14;259;PM25;;diario
15;259;PM25;;horario
16;154;00Cu;;diario
17;154;00Pb;;diario
18;154;ARSE;;diario
19;154;PM10;;diario
20;154;PM1D;;diario
21;70;PM10;;diario
22;70;ARSE;;
23;70;00Cu;;
24;70;00Pb;;
25;70;WDIR;10;horario
26;70;WSPD;10;horario
27;33;00Cu;;diario
28;33;00Pb;;diario
29;33;ARSE;;diario
30;33;PM10;;diario
31;33;PM1D;;diario
32;33;WDIR;10;horario
33;33;WSPD;10;horario
34;46;0001;;diario
35;46;0001;;horario
36;46;ARSE;;diario
37;46;PM10;;diario
38;234;0001;;diario
39;234;0001;;horario
40;234;ARSE;;diario
41;234;PM10;;diario
42;234;PM25;;
43;234;GLOB;3;horario
44;234;PRES;2;horario
45;234;PRES;3;horario
46;234;RHUM;2;horario
47;234;TEMP;2;horario
48;234;WDIR;10;horario
49;234;WSPD;10;horario
50;207;0001;;diario
51;207;0001;;horario
52;207;PM10;;diario
53;207;PM10;;horario
54;207;PM25;;diario
55;207;PM25;;horario
56;207;ARSE;;
57;207;00Pb;;
58;207;RHUM;2;horario
59;207;TEMP;2;horario
60;207;TEMP;10;horario
61;207;WDIR;10;horario
62;207;WSPD;10;horario
63;222;PM10;;diario
64;222;PM10;;horario
65;222;PM25;;diario
66;222;PM25;;horario
67;222;ARSE;;
68;222;00Pb;;
69;222;RHUM;2;horario
70;222;TEMP;2;horario
71;222;TEMP;10;horario
72;222;WDIR;10;horario
73;222;WSPD;10;horario
74;275;0001;;diario
75;275;0001;;horario
76;275;0002;;diario
77;275;0002;;horario
78;275;0003;;diario
79;275;0003;;horario
80;275;0004;;diario
81;275;0004;;horario
82;275;0008;;diario
83;275;0008;;horario
84;275;0NOX;;diario
85;275;0NOX;;horario
86;275;PM10;;diario
87;275;PM10;;horario
88;275;PM25;;diario
89;275;PM25;;horario
90;275;ARSE;;
91;275;00Pb;;
92;275;RHUM;2;horario
93;275;RHUM;4;horario
94;275;TEMP;2;horario
95;275;TEMP;4;horario
96;275;TEMP;10;horario
97;275;WDIR;4;horario
98;275;WDIR;10;horario
99;275;WSPD;4;horario
100;275;WSPD;10;horario
101;124;0001;;diario
102;124;0001;;horario
103;124;ARSE;;diario
104;124;PM10;;diario
105;124;PM10;;horario
106;124;PM25;;diario
107;124;PM25;;horario
108;124;00Pb;;
109;124;GLOB;3;horario
110;124;PRES;2;horario
111;124;PRES;3;horario
112;124;RAIN;;horario
113;124;RAIN;2;horario
114;124;RHUM;;horario
