cod_param;nombre_param;alias_param;tipo_param
0001;Dióxido de azufre;SO2;cal
0002;Monóxido de nitrógeno;NO;cal
0003;Dióxido de nitrógeno;NO2;cal
0004;Monóxido de carbono;CO;cal
0008;Ozono.-;O3;cal
00Cu;Cu;Cu;cal
00Ni;Ni;Ni;cal
00Pb;Pb;Pb;cal
0CH4;Metano;CH4;cal
0NOX;Óxidos de nitrógeno;NOx;cal
ARSE;As;As;cal
CORG;Carbono orgánico;OC;cal
CTOT;Carbono total;TC;cal
GLOB;Radiación global;GLOB;met
NMHC;Hidrocarburos no metánicos;NMHC;cal
PM10;Material particulado MP 10;PM10;cal
PM1D;Material particulado 10 micrometros discreto;PM10D;cal
PM25;Material particulado MP 2,5;PM25;cal
PM2D;Material particulado 2.5 micrometros discreto;PM25D;cal
PRES;Presión atmosférica;PRES;met
RAIN;Precipitaciones;RAIN;met
RHUM;Humedad relativa del aire;RH;met
SOL;Radiacion Solar;SOL;met
TEMP;Temperatura ambiente;TEMP;met
THCM;Hidrocarburos totales;THC;cal
TRSG;TRS;TRS;cal
WDIR;Dirección del viento;WDIR;met
WSPD;Velocidad del viento;WSPD;met
