id_est;cod_param;altura;id_reg
232;PM25;;XV
157;PM25;;I
157;GLOB;3;I
157;RHUM;3;I
157;TEMP;3;I
157;TEMP;10;I
157;WDIR;10;I
157;WSPD;10;I
259;0001;;II
259;PM10;;II
259;PM25;;II
154;00Cu;;II
154;00Pb;;II
154;ARSE;;II
154;PM10;;II
154;PM1D;;II
70;PM10;;II
70;ARSE;;II
70;00Cu;;II
70;00Pb;;II
70;WDIR;10;II
70;WSPD;10;II
33;00Cu;;II
33;00Pb;;II
33;ARSE;;II
33;PM10;;II
33;PM1D;;II
33;WDIR;10;II
33;WSPD;10;II
46;0001;;II
46;ARSE;;II
46;PM10;;II
234;0001;;II
234;ARSE;;II
234;PM10;;II
234;PM25;;II
234;GLOB;3;II
234;PRES;2;II
234;PRES;3;II
234;RHUM;2;II
234;TEMP;2;II
234;WDIR;10;II
234;WSPD;10;II
207;0001;;II
207;PM10;;II
207;PM25;;II
207;ARSE;;II
207;00Pb;;II
207;RHUM;2;II
207;TEMP;2;II
207;TEMP;10;II
207;WDIR;10;II
207;WSPD;10;II
222;PM10;;II
222;PM25;;II
222;ARSE;;II
222;00Pb;;II
222;RHUM;2;II
222;TEMP;2;II
222;TEMP;10;II
222;WDIR;10;II
222;WSPD;10;II
275;0001;;II
275;0002;;II
275;0003;;II
275;0004;;II
275;0008;;II
275;0NOX;;II
275;PM10;;II
275;PM25;;II
275;ARSE;;II
275;00Pb;;II
275;RHUM;2;II
275;RHUM;4;II
275;TEMP;2;II
275;TEMP;4;II
275;TEMP;10;II
275;WDIR;4;II
275;WDIR;10;II
275;WSPD;4;II
275;WSPD;10;II
124;0001;;II
124;ARSE;;II
124;PM10;;II
124;PM25;;II
124;00Pb;;II
124;GLOB;3;II
124;PRES;2;II
124;PRES;3;II
124;RAIN;;II
124;RAIN;2;II
124;RHUM;;II
124;RHUM;2;II
124;TEMP;10;II
124;TEMP;2;II
124;WDIR;10;II
124;WSPD;10;II
282;0001;;II
282;PM10;;II
282;ARSE;;II
282;00Pb;;II
282;GLOB;;II
282;PRES;;II
282;RAIN;;II
282;RHUM;2;II
282;TEMP;2;II
282;WDIR;10;II
282;WSPD;10;II
134;0001;;II
134;GLOB;;II
134;RHUM;2;II
134;TEMP;2;II
134;WDIR;10;II
134;WSPD;10;II
134;PRES;;II
134;RAIN;;II
12;0001;;II
12;ARSE;;II
12;PM10;;II
12;00Pb;;II
12;PM25;;II
108;0001;;II
108;ARSE;;II
108;PM10;;II
69;0001;;II
69;0004;;II
69;PM10;;II
69;ARSE;;II
69;PRES;2;II
69;RAIN;2;II
69;TEMP;2;II
69;WDIR;10;II
69;WSPD;10;II
69;GLOB;;II
3;0001;;II
3;PM10;;II
3;ARSE;;II
68;PM10;;II
68;WDIR;;II
68;RHUM;;II
68;TEMP;;II
68;WSPD;;II
2;PM10;;II
1;0002;;II
1;0003;;II
1;0NOX;;II
1;PM10;;II
1;GLOB;3;II
1;RHUM;3;II
1;TEMP;10;II
1;WDIR;10;II
1;WSPD;10;II
279;0002;;II
279;0003;;II
279;0NOX;;II
279;PM10;;II
279;GLOB;3;II
279;RHUM;3;II
279;TEMP;10;II
279;WDIR;10;II
279;WSPD;10;II
4;0002;;II
4;0003;;II
4;0004;;II
4;0008;;II
4;0NOX;;II
4;PM10;;II
66;0001;;II
66;0003;;II
66;0008;;II
66;PM10;;II
66;00Ni;;II
255;PM10;;II
255;PM25;;II
255;TEMP;18;II
255;WDIR;18;II
255;WSPD;18;II
71;0001;;II
71;0002;;II
71;0003;;II
71;0004;;II
71;0008;;II
71;0NOX;;II
71;PM10;;II
71;WDIR;;II
71;WSPD;;II
72;0001;;II
72;0002;;II
72;0003;;II
72;0004;;II
72;0008;;II
72;0NOX;;II
72;PM10;;II
72;GLOB;2;II
72;PRES;2;II
72;RAIN;2;II
72;RHUM;2;II
72;TEMP;2;II
72;WDIR;10;II
72;WSPD;10;II
178;PM25;;II
270;0001;;II
270;PM10;;II
270;WSPD;10;II
